DBMS_uriform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website,Source Code,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Written in,Supported languages,Embeds / Uses,Licenses,Operating Systems,Data_Model_mapping,has_open_source_github_repo,github_repo_link,org_name,repo_name,open_source_license
echodb,EchoDB,https://dbdb.io/db/echodb,https://dbdb.io/media/logos/echodb.svg,"Last updated Aug. 21, 2022, 2:59 p.m.","EchoDB is an in-memory, multi-versioned key-value embedded DBMS.",Key/Value,Custom API,Embedded,https://crates.io/crates/echodb,https://github.com/surrealdb/echodb,https://docs.rs/echodb/latest/echodb/,SurrealDB Ltd.,GB,2021,,Open Source,Rust,,,Apache v2,,Key-value,Y,surrealdb/echodb,surrealdb,echodb,Y
edgedb,EdgeDB,https://dbdb.io/db/edgedb,https://dbdb.io/media/logos/edgedb.svg,"Last updated June 28, 2022, 7:50 a.m.",EdgeDB is a relational database-as-a-service.,Object-Oriented,"Custom API,SQL,GraphQL",,http://edgedb.com/,https://github.com/edgedb/edgedb,https://www.edgedb.com/docs,MagicStack,CA,2018,,Open Source,,,,Apache v2,,Object oriented,Y,edgedb/edgedb,edgedb,edgedb,Y
edgelessdb,EdgelessDB,https://dbdb.io/db/edgelessdb,https://dbdb.io/media/logos/edgelessdb.svg,"Last updated June 27, 2022, 7:38 a.m.",EdgelessDB is a MySQL-compatible DBMS designed to run inside Intel's SGX secure enclave. It is a fork of MariaDB that uses RocksDB as its internal storage engine.,Relational,SQL,Shared-Everything,https://www.edgeless.systems/products/edgelessdb/,https://github.com/edgelesssys/edgelessdb/,https://docs.edgeless.systems/edgelessdb/,Edgeless Systems,DE,2021,,"Commercial,Open Source",,,RocksDB,GPL v2,,Relational,Y,edgelesssys/edgelessdb,edgelesssys,edgelessdb,Y
edis,Edis,https://dbdb.io/db/edis,https://dbdb.io/media/logos/edis.png.200x200_q85.png,"Last updated July 19, 2019, 9:43 p.m.",Edis is an Erlang re-implementation of Redis. It uses LevelDB as its backing data store.,Key/Value,,,http://inaka.github.com/edis/,https://github.com/cbd/edis,,Chad DePue,US,2010,,Open Source,Erlang,,LevelDB,,,Key-value,Y,cbd/edis,cbd,edis,Y
effiproz,EffiProz,https://dbdb.io/db/effiproz,https://dbdb.io/media/logos/effiproz.png.200x200_q85.png,"Last updated June 5, 2019, 11:04 p.m.",EffiProz is an embedded DBMS written in C#. It supports a SQL dialect that is similar to HSQLDB.,Relational,SQL,Embedded,http://www.effiproz.com,https://bitbucket.org/efz/effiproz,https://archive.codeplex.com/?p=effiproz,EffiProz LLC,US,,,"Commercial,Open Source",C#,C#,,,Windows,Relational,,,,,Y
ehcache,Ehcache,https://dbdb.io/db/ehcache,https://dbdb.io/media/logos/ehcache.png.200x200_q85.png,"Last updated Jan. 6, 2022, 7:57 a.m.",Ehcache is an open source Java distributed cache for general purpose caching.,Key/Value,Custom API,,http://ehcache.org/,https://github.com/ehcache/ehcache3,http://www.ehcache.org/documentation/,"Terracotta, Inc.",US,2003,,Open Source,Java,Java,,Apache v2,All OS with Java VM,Key-value,Y,ehcache/ehcache3,ehcache,ehcache3,Y
einsteindb,EinsteinDB,https://dbdb.io/db/einsteindb,https://dbdb.io/media/logos/einsteindb.svg,"Last updated June 26, 2022, 11:10 p.m.",EinsteinDB is a key-value store DBMS that supports partially ordered events.,Key/Value,,,https://www.einsteindb.com/,https://github.com/YosiSF/EinsteinDB,https://www.einsteindb.com/docs,Whtcorps Inc.,US,2019,,Open Source,Rust,,FoundationDB,,,Key-value,Y,YosiSF/EinsteinDB,YosiSF,EinsteinDB,Y
ejdb,EJDB,https://dbdb.io/db/ejdb,https://dbdb.io/media/logos/ejdb.png.200x200_q85.png,"Last updated July 18, 2021, 10:25 p.m.",EJDB2 is an embeddable JSON database engine,"Key/Value,Document / XML","Custom API,HTTP / REST",Embedded,http://ejdb.org/,https://github.com/Softmotions/ejdb,https://github.com/Softmotions/ejdb/blob/master/README.md,Softmotions,RU,2012,,Open Source,C,"C,C++,Dart,Java,JavaScript,Kotlin,Swift",,,"Android,BSD,iOS,Linux,OS X,Windows","Key-value,Document",Y,Softmotions/ejdb,Softmotions,ejdb,Y
elara-db,Elara DB,https://dbdb.io/db/elara-db,https://dbdb.io/media/logos/elara.png.200x200_q85.png,"Last updated Jan. 6, 2022, 10:12 p.m.",Elara DB is a key-value embedded DBMS written in Python.,Key/Value,Custom API,Embedded,https://pypi.org/project/elara/,https://github.com/saurabh0719/elara,,Saurabh Pujari,IN,2021,,"Hobby,Open Source",Python,Python,,,,Key-value,Y,saurabh0719/elara,saurabh0719,elara,Y
elasql,ElaSQL,https://dbdb.io/db/elasql,https://dbdb.io/media/logos/elasql.png.200x200_q85.png,"Last updated July 19, 2019, 12:04 a.m.",,Relational,SQL,,http://www.elasql.org/,https://github.com/elasql/elasql,,National Tsing Hua University,TW,2016,,"Academic,Open Source",Java,,VanillaDB,,,Relational,Y,elasql/elasql,elasql,elasql,Y
elasticsearch,Elasticsearch,https://dbdb.io/db/elasticsearch,https://dbdb.io/media/logos/elastic2021.svg,"Last updated Dec. 5, 2022, 5:04 p.m.","Elasticsearch is an open-source full-text search and analytics engine based on Lucene. A few sample use-cases including online web store catalog, collect and analyze logs for data mining, supervise and alerting system, business-intelligence needs.",Document / XML,Custom API,Shared-Nothing,http://www.elasticsearch.org/,https://github.com/elastic/elasticsearch,https://www.elastic.co/guide/index.html,Elasticsearch BV,US,2004,,Open Source,Java,"Java,Python",Lucene,,All OS with Java VM,Document,Y,elastic/elasticsearch,elastic,elasticsearch,Y
elephantdb,ElephantDB,https://dbdb.io/db/elephantdb,https://dbdb.io/media/logos/elephantdb.png.200x200_q85.png,"Last updated June 1, 2018, 11:10 p.m.",ElephantDB is a database that provides an API for reading key/value data from Hadoop. ElephantDB server does not support random writes.,Key/Value,,,https://github.com/nathanmarz/elephantdb,https://github.com/nathanmarz/elephantdb,,Nathan Marz,US,2011,,Open Source,Clojure,,,,,Key-value,Y,nathanmarz/elephantdb,nathanmarz,elephantdb,Y
elevator,Elevator,https://dbdb.io/db/elevator,https://dbdb.io/media/logos/elevator.png.200x200_q85.png,"Last updated June 30, 2022, 3:20 p.m.","Elevator is an open-source, on-disk key-value store.",Key/Value,"Custom API,Command-line / Shell",,https://elevator.readthedocs.io/,https://github.com/oleiade/Elevator,https://elevator.readthedocs.io/,Théo Crevon,DE,2012,2014,Open Source,,,,,,Key-value,Y,oleiade/Elevator,oleiade,Elevator,Y
eliasdb,EliasDB,https://dbdb.io/db/eliasdb,https://dbdb.io/media/logos/eliasdb.png.200x200_q85.png,"Last updated Jan. 1, 2021, 12:10 p.m.",EliasDB is a lightweight graph-based database written in Go.,Graph,,,https://github.com/krotik/eliasdb,https://github.com/krotik/eliasdb,https://godoc.org/devt.de/eliasdb,Matthias Ladkau,GB,2016,,Open Source,Go,,,,,Graph,Y,krotik/eliasdb,krotik,eliasdb,Y
elliptics,Elliptics,https://dbdb.io/db/elliptics,https://dbdb.io/media/logos/elliptics.png.200x200_q85.png,"Last updated Dec. 31, 2018, 3:39 p.m.",Elliptics is a fault-tolerant distributed key/value (no-relational) database system. The core storage engine is a hash table. All keys are hashed into 512-bit ids via sha512 algorithm by default.,Key/Value,"Custom API,Command-line / Shell",Shared-Disk,http://reverbrain.com/elliptics/,https://github.com/reverbrain/elliptics,http://doc.reverbrain.com/elliptics:elliptics,Reverbrain,RU,2009,,"Commercial,Open Source","C++,Python","C,C++,Python",,,Linux,Key-value,Y,reverbrain/elliptics,reverbrain,elliptics,Y
embeddinghub,Embeddinghub,https://dbdb.io/db/embeddinghub,https://dbdb.io/media/logos/embeddinghub.png.200x200_q85.png,"Last updated May 8, 2022, 3:32 p.m.",Embeddinghub is a vector DBMS designed for performing nearest neighbor searches.,Array / Matrix,Custom API,Shared-Everything,https://www.featureform.com/,https://github.com/featureform/embeddinghub,https://docs.featureform.com/,Featureform,US,2020,,"Commercial,Open Source",Go,,,,,Array,Y,featureform/embeddinghub,featureform,embeddinghub,Y
engula,Engula,https://dbdb.io/db/engula,https://dbdb.io/media/logos/engula.png.200x200_q85.png,"Last updated Aug. 17, 2022, 12:03 p.m.",Engula is a distributed key-value DBMS.,Key/Value,Custom API,Shared-Nothing,https://www.engula.io,https://github.com/engula/engula,https://www.engula.io/blog/,Huachao Huang,CN,2022,,"Hobby,Open Source",Rust,,,,Linux,Key-value,Y,engula/engula,engula,engula,Y
ennodb,EnnoDB,https://dbdb.io/db/ennodb,,"Last updated Jan. 4, 2022, 8:28 p.m.",EnnoDB was a key/value NoSQL database designed to run on a web server.,Key/Value,HTTP / REST,,https://github.com/badgerman/ennodb,https://github.com/badgerman/ennodb,,Enno Rehling,NO,2012,2016,"Hobby,Open Source",C,,,,Linux,Key-value,Y,badgerman/ennodb,badgerman,ennodb,Y
etcd,etcd,https://dbdb.io/db/etcd,https://dbdb.io/media/logos/etcd.svg,"Last updated June 27, 2022, 7:39 a.m.","etcd is a distributed key-value store which is highly available, strongly consistent, and watchable for changes. The name ""etcd"" was from a unix's configuration directory, ""etc"" and ""d""istributed system. There are two major use cases: concurrency control in the distributed system and application configuration store. For example, CoreOS Container Linux uses etcd to achieve a global semaphore to avoid that all nodes in the cluster rebooting at the same time. Also, Kubernetes use etcd for their configuration store.",Key/Value,RPC,Shared-Nothing,https://etcd.io/,https://github.com/coreos/etcd,https://etcd.io/docs/latest/,CoreOS,US,2013,,Open Source,Go,,,,Linux,Key-value,Y,coreos/etcd,coreos,etcd,Y
euclidesdb,EuclidesDB,https://dbdb.io/db/euclidesdb,https://dbdb.io/media/logos/euclidesdb.png.200x200_q85.png,"Last updated Sept. 17, 2020, 9:40 p.m.",EuclidesDB is a multi-model machine learning feature DBMS designed to interoperate with PyTorch applications. It provides a query interface for searching for multi-dimensional model features.,Array / Matrix,"Custom API,HTTP / REST",Shared-Everything,http://euclidesdb.readthedocs.io/,https://github.com/perone/euclidesdb,,Christian S. Perone,PT,2018,,Open Source,C++,Python,LevelDB,,"Linux,OS X",Array,Y,perone/euclidesdb,perone,euclidesdb,Y
evcache,EVCache,https://dbdb.io/db/evcache,https://dbdb.io/media/logos/evcache.png.200x200_q85.png,"Last updated Jan. 17, 2019, 10:02 p.m.",EVCache is a distributed in-memory data store based on Memcached.,Key/Value,,Shared-Nothing,https://github.com/Netflix/EVCache,https://github.com/Netflix/EVCache,https://github.com/Netflix/evcache/wiki,Netflix,US,2012,,Open Source,,,,,,Key-value,Y,Netflix/EVCache,Netflix,EVCache,Y
event-store,Event Store,https://dbdb.io/db/event-store,https://dbdb.io/media/logos/eventstore.svg,"Last updated June 27, 2022, 7:41 a.m.","Event Store is an open-source, functional database designed for complex event processing workloads.",,,,https://eventstore.org/,https://github.com/EventStore/EventStore,https://eventstore.org/docs,Event Store LLP,GB,2012,,"Commercial,Open Source","C#,C++,JavaScript",,,,Windows,,Y,EventStore/EventStore,EventStore,EventStore,Y
eventql,EventQL,https://dbdb.io/db/eventql,https://dbdb.io/media/logos/eventql.png.200x200_q85.png,"Last updated Jan. 7, 2022, 7:55 a.m.","EventQL is a distributed, column-oriented database built for large-scale event collection and analytics.",Relational,SQL,Shared-Nothing,http://eventql.io/,https://github.com/eventql/eventql,https://eventql.io/documentation/,DeepCortex GmbH,"DE,NL",2014,2017,"Commercial,Open Source",C++,,,,,Relational,Y,eventql/eventql,eventql,eventql,Y
exist-db,eXist-db,https://dbdb.io/db/exist-db,https://dbdb.io/media/logos/existdb.png.200x200_q85.png,"Last updated June 30, 2022, 10:22 p.m.",eXist-db is an open-source XML DBMS.,Document / XML,XQuery,,http://exist-db.org/,https://github.com/eXist-db/exist,https://github.com/eXist-db/exist/wiki,eXist Solutions GmbH,DE,2000,,"Commercial,Open Source",Java,,,,,Document,Y,eXist-db/exist,eXist-db,exist,Y
extensible-storage-engine,Extensible Storage Engine,https://dbdb.io/db/extensible-storage-engine,,"Last updated May 8, 2022, 3:41 p.m.","Extensible Storage Engine (ESE) is an embedded key-value ISAM DBMS used in various Microsoft products. This system is sometimes referred to as ""JET Blue"".",Key/Value,Custom API,Embedded,https://docs.microsoft.com/en-us/windows/win32/extensible-storage-engine/extensible-storage-engine,https://github.com/microsoft/Extensible-Storage-Engine,https://docs.microsoft.com/en-us/windows/win32/extensible-storage-engine/extensible-storage-engine-reference,Microsoft,US,1994,,"Commercial,Open Source",C++,"C,C++",,MIT,Windows,Key-value,Y,microsoft/Extensible-Storage-Engine,microsoft,Extensible-Storage-Engine,Y
eyedb,EyeDB,https://dbdb.io/db/eyedb,https://dbdb.io/media/logos/eyedb.png.200x200_q85.png,"Last updated June 7, 2019, 8:53 p.m.",EyeDB is an object-oriented DBMS written for Java and C++ applications.,Object-Oriented,Custom API,,http://www.eyedb.org/,http://sourceforge.net/projects/eyedb,http://www.eyedb.org/documentation/,Genethon Laboratories,FR,1992,,"Academic,Open Source",C++,"C++,Java",,LGPL v2,,Object oriented,,,,,Y
eyros,eyros,https://dbdb.io/db/eyros,https://dbdb.io/media/logos/eyros.svg,"Last updated June 27, 2022, 7:42 a.m.",eyros is a multi-dimensional interval DBMS designed for geospatial and time-series databases.,Array / Matrix,Custom API,Embedded,https://github.com/peermaps/eyros,https://github.com/peermaps/eyros,,bits.coop,US,2018,,Open Source,Rust,Rust,,Parity Public License,,Array,Y,peermaps/eyros,peermaps,eyros,Y
falcon,Falcon,https://dbdb.io/db/falcon,https://dbdb.io/media/logos/mysql-falcon.png.200x200_q85.png,"Last updated June 3, 2018, 3 p.m.",Falcon was a transactional storage engine being developed for the MySQL relational database management system.,,,,,http://mysql.bkbits.net:8080/mysql-5.2-falcon,http://download.nust.na/pub6/mysql/tech-resources/articles/falcon-in-depth.html,Sun Microsystems,US,2006,,"Commercial,Open Source",,,,,,,,,,,Y
fallen-8,Fallen-8,https://dbdb.io/db/fallen-8,https://dbdb.io/media/logos/fallen-8.svg,"Last updated June 27, 2022, 7:52 a.m.",Fallen-8 is an in-memory graph DBMS implemented in C#.,Graph,HTTP / REST,,http://www.fallen-8.com/,https://github.com/cosh/fallen-8,,Henning Rauch,DE,2011,,"Hobby,Open Source",C#,,,MIT,,Graph,Y,cosh/fallen-8,cosh,fallen-8,Y
fastdb,FastDB,https://dbdb.io/db/fastdb,https://dbdb.io/media/logos/fastdb.svg,"Last updated June 29, 2022, 11:18 a.m.",,Relational,,Shared-Everything,http://www.garret.ru/fastdb.html,https://sourceforge.net/projects/fastdb/,http://www.garret.ru/fastdb/FastDB.htm,Konstantin Knizhnik,RU,2011,,Open Source,C++,,,,"BSD,Linux,Solaris,Windows",Relational,,,,,Y
faster,FASTER,https://dbdb.io/db/faster,https://dbdb.io/media/logos/faster.png.200x200_q85.png,"Last updated Jan. 11, 2021, 6:31 p.m.",FASTER is a embedded transactional key-value storage manager from Microsoft.,Key/Value,Custom API,Embedded,https://aka.ms/FASTER,https://github.com/microsoft/FASTER/,https://microsoft.github.io/FASTER/docs/quick-start-guide/,Microsoft,US,2018,,"Commercial,Open Source","C#,C++","C#,C++",,MIT,,Key-value,Y,microsoft/FASTER,microsoft,FASTER,Y
featurebase,FeatureBase,https://dbdb.io/db/featurebase,https://dbdb.io/media/logos/featurebase.svg,"Last updated Jan. 3, 2023, 12:32 p.m.","FeatureBase is a relational DBMS designed for automated featured extraction for analytical workloads. Feature extraction and storage technology enables real-time analytics and AI initiatives, making model-ready data instantly accessible, without the need to copy or pre-process data. FeatureBase leaves data at its source and continuously extracts and updates only features in real time. FeatureBase supports clustering, record deletion, time-to-live (TTL) expiration and SQL functionality. FeatureBase is available as a cloud SaaS product or as a locally-managed database.",Relational,"Custom API,SQL,HTTP / REST,Command-line / Shell",Shared-Nothing,https://www.molecula.com/featurebase/,https://github.com/featurebasedb/featurebase,https://docs.molecula.cloud/,Molecula,US,2017,,Open Source,Go,"Python,SQL",,Apache v2,"Hosted,Linux",Relational,Y,featurebasedb/featurebase,featurebasedb,featurebase,Y
ferretdb,FerretDB,https://dbdb.io/db/ferretdb,https://dbdb.io/media/logos/ferretdb.svg,"Last updated June 27, 2022, 12:03 p.m.",FerretDB is a document-oriented query middleware on top of PostgreSQL.,Document / XML,Custom API,Shared-Everything,https://www.ferretdb.io/,https://github.com/FerretDB/FerretDB,,FerretDB Inc.,US,2021,,Open Source,Go,,,,,Document,Y,FerretDB/FerretDB,FerretDB,FerretDB,Y
filedb,FileDB,https://dbdb.io/db/filedb,https://dbdb.io/media/logos/filedb_08V0UhI.png.200x200_q85.png,"Last updated March 29, 2022, 12:02 p.m.","FileDB is a lightweight C# library to store, retrieve, and delete named blobs using a single archive file as a container on disk.",Key/Value,,,https://github.com/mbdavid/FileDB,https://github.com/mbdavid/FileDB,,Mauricio David,BR,2015,,"Hobby,Open Source",C#,,,MIT,Windows,Key-value,Y,mbdavid/FileDB,mbdavid,FileDB,Y
filodb,FiloDB,https://dbdb.io/db/filodb,https://dbdb.io/media/logos/filedb.png.200x200_q85.png,"Last updated Jan. 7, 2022, 7:58 a.m.","FiloDB is an open-source distributed, versioned, and columnar analytical database designed for modern streaming workloads.",,PromQL,,https://github.com/tuplejump/FiloDB,https://github.com/filodb/FiloDB,https://github.com/filodb/FiloDB/blob/master/README.md,Evan Chan,US,2015,,Open Source,Scala,,,Apache v2,,,Y,filodb/FiloDB,filodb,FiloDB,Y
finedb,FineDB,https://dbdb.io/db/finedb,https://dbdb.io/media/logos/finedb_3QD3tsO.png.200x200_q85.png,"Last updated Dec. 9, 2019, 9:12 p.m.","FineDB is a multi-threaded NoSQL DBMS written in C, founded by Amaury Bouchard in 2013. It is based on Nanomsg and LMDB(Lightning Memory-Mapped Database) and is currently open-sourced and available on Github. It handles all basic queries. It uses LMDB as its internal storage manager, so all detailed information on the storage model can be found on LMDB's page. The way that the database is set up is that there are three main threads to handle the connections, writing and communication between the threads. For the communication between the threads, there are two nanomsg communication streams that have fanin and fanout streams. With these streams and threads, the DBMS connects to the LMDB storage model. This DB has not been updated since September 2013 so it is considered defunct.",Key/Value,Custom API,Shared-Memory,http://www.finedb.org/,http://github.com/Amaury/FineDB,http://www.finedb.org/page/show/1/protocol,Amaury Bouchard,FR,2013,,Open Source,C,,,Apache v2,,Key-value,,,,,Y
firebird,Firebird,https://dbdb.io/db/firebird,https://dbdb.io/media/logos/firebird.svg,"Last updated June 29, 2022, 11:20 a.m.","Firebird is a free, open-source, SQL relational database management system based on the open source edition of InterBase released by Borland Software Corp, formerly known as Inprise Corp. Developed in C and C++, Firebird supports major hardware and software platforms including Windows, Linux, and Mac OS X. Firebird offers many ANSI SQL standard features, allows simultaneous OLTP and OLAP operations through its multi-generational architecture, and supports stored procedures and triggers.",Relational,"Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Everything,http://www.firebirdsql.org/,https://github.com/FirebirdSQL/firebird,http://firebirdsql.org/en/firebird-rdbms/,Borland,US,2000,,Open Source,"C,C++","C,C++,Delphi,Java,Perl,PHP,Python",,Mozilla Public License,"Linux,OS X,Solaris,Windows",Relational,Y,FirebirdSQL/firebird,FirebirdSQL,firebird,Y
flashdb,FlashDB,https://dbdb.io/db/flashdb,https://dbdb.io/media/logos/flashdb.png.200x200_q85.png,"Last updated May 30, 2021, 3:43 p.m.",FlashDB is an embedded key-value DBMS.,Key/Value,Custom API,Embedded,https://armink.github.io/FlashDB/,https://github.com/armink/FlashDB,https://armink.github.io/FlashDB/#/README,Armink,CN,2020,,"Hobby,Open Source",C,,,Apache v2,,Key-value,Y,armink/FlashDB,armink,FlashDB,Y
fleetdb,FleetDB,https://dbdb.io/db/fleetdb,,"Last updated Jan. 7, 2022, 8:06 a.m.","FleetDB is an in-memory, document-oriented DBMS.",Document / XML,Custom API,,http://fleetdb.org/,https://github.com/mmcgrana/fleetdb,http://fleetdb.org/docs/introduction.html,Mark McGranaghan,US,2009,,"Academic,Open Source",Clojure,,,MIT,,Document,Y,mmcgrana/fleetdb,mmcgrana,fleetdb,Y
flockdb,FlockDB,https://dbdb.io/db/flockdb,,"Last updated June 2, 2018, 10:46 p.m.","FlockDB was a distributed, fault-tolerant graph database.",Graph,,,https://github.com/twitter/flockdb,https://github.com/twitter-archive/flockdb,,Twitter,US,2010,,Open Source,Scala,,,Apache v2,,Graph,Y,twitter-archive/flockdb,twitter-archive,flockdb,Y
fluree,Fluree,https://dbdb.io/db/fluree,https://dbdb.io/media/logos/flureedb.svg,"Last updated July 1, 2022, 1:52 p.m.",Fluree is a ledger-backed semantic graph database with a cloud-native architecture.,"Relational,Document / XML,Graph,Triplestore (RDF)","Custom API,SQL,GraphQL,SPARQL,HTTP / REST",,https://flur.ee/,https://github.com/fluree/db,https://docs.flur.ee/,"Fluree, PBC",US,2017,,"Commercial,Open Source",Clojure,"Clojure,JavaScript",,AGPL v3,All OS with Java VM,"Relational,Document,Graph,RDF",Y,fluree/db,fluree,db,Y
fongo,Fongo,https://dbdb.io/db/fongo,,"Last updated July 1, 2022, 12:32 p.m.","Fongo (""Fake Mongo"") is a in-memory re-implementation of MongoDB written in Java. The goal of the project is to use it for lightweight unit testing and not production databases.",Document / XML,Custom API,Shared-Everything,https://github.com/fakemongo/fongo,https://github.com/fakemongo/fongo,,Foursquare,US,2012,,Open Source,Java,,,Apache v2,,Document,Y,fakemongo/fongo,fakemongo,fongo,Y
forestdb,ForestDB,https://dbdb.io/db/forestdb,,"Last updated May 11, 2019, 8:07 p.m.",ForestDB is a single-node key-value storage engine Couchbase server. It addresses the performance issue on current B+ tree and LSM-tree indexing on variable length strings. ForestDB uses an in-memory log structured write buffer index and an on-disk HB+-trie as indexing. HB+-trie splits keys into chunks and stored in normal B+ tree nodes to guide the traffic. The write buffer index stores the disk locations of records not in HB+-trie and the log-structure of write buffer index reduces disk I/O.,Key/Value,Custom API,Embedded,https://github.com/couchbaselabs/forestdb,https://github.com/couchbase/forestdb,https://github.com/couchbase/forestdb/wiki,"Couchbase, Inc.",US,2013,,Open Source,C++,"C++,Go,Java,Objective-C,Python",,Apache v2,"Android,iOS,Linux,OS X,Windows",Key-value,Y,couchbase/forestdb,couchbase,forestdb,Y
foundationdb,FoundationDB,https://dbdb.io/db/foundationdb,https://dbdb.io/media/logos/foundationdb-horizontal.svg,"Last updated June 27, 2022, 7:56 a.m.","FoundationDB is a distributed non-relational database that supports ACID transactions and OLTP workloads. FoundationDB decouples its data storage technology from its data model. All data is stored as an ordered key-value data structure and can be remapped to custom data models or indexes by using user-written layer module API. FoundationDB doesn’t have any separate query language, it only exposes API to access data. FoundationDB was famous for having rigorous and thorough testing of their fault tolerance. They built their own [deterministic testing] (https://www.youtube.com/watch?v=4fFDFbi3toc) while developing their system to make sure their system implementation behaves correctly. The simulation was built to model real-life scenarios, such as a combination of transaction executions while having network failure, database configuration change, and human operator errors.",Key/Value,Custom API,Shared-Nothing,https://www.foundationdb.org/,https://github.com/apple/foundationdb/,https://apple.github.io/foundationdb/index.html,FoundationDB,US,2009,,Open Source,C++,,,Apache v2,,Key-value,Y,apple/foundationdb,apple,foundationdb,Y
framerd,FramerD,https://dbdb.io/db/framerd,https://dbdb.io/media/logos/framerd.png.200x200_q85.png,"Last updated June 7, 2019, 10:11 p.m.","FramerD is a distributed object-oriented DBMS designed to support the maintenance of knowledge bases. FramerD is optimized for pointer-intensive data structures used by semantic networks, frame systems, and intelligent agent applications.",Object-Oriented,Custom API,,http://www.framerd.org,https://sourceforge.net/projects/framerd/,http://www.framerd.org/docs/,MIT Media Lab,US,1996,,"Academic,Open Source",C,,,GPL v2,"Linux,OS X,Windows",Object oriented,,,,,Y
frostdb,FrostDB,https://dbdb.io/db/frostdb,https://dbdb.io/media/logos/frostdb.png.200x200_q85.png,"Last updated June 17, 2022, 7:22 a.m.",FrostDB is an embedded columnar DBMS written in Go designed for observability time-series data sets.,Column Family,Custom API,Embedded,https://github.com/polarsignals/frostdb,https://github.com/polarsignals/frostdb,,Polar Signals,US,2022,,Open Source,Go,Go,,Apache v2,,Wide column,Y,polarsignals/frostdb,polarsignals,frostdb,Y
fueldb,FuelDB,https://dbdb.io/db/fueldb,https://dbdb.io/media/logos/fueldb.svg,"Last updated June 27, 2022, 7:56 a.m.",FuelDB is a real-time document-oriented database management system designed to run Node.js.,Document / XML,,,https://wonderfuel.io/fueldb/,https://github.com/unnamed38/fueldb,http://wonderfuel.io/fueldb/reference.php,Joris Basiglio,FR,2014,,Open Source,Java,JavaScript,,MIT,Linux,Document,Y,unnamed38/fueldb,unnamed38,fueldb,Y
gadfly,Gadfly,https://dbdb.io/db/gadfly,,"Last updated June 2, 2018, 10:52 p.m.","Gadfly is a relational database management system written using Python modules and optional Python/C extension modules as its underlying engine. Gadfly stores the active database in memory, with recovery logging to a file system.",Relational,,,http://gadfly.sourceforge.net/,https://sourceforge.net/projects/gadfly/,http://gadfly.sourceforge.net/faq.html,Aaron Watters,US,1994,2013,Open Source,Python,,,Python License,,Relational,,,,,Y
gaffer,Gaffer,https://dbdb.io/db/gaffer,https://dbdb.io/media/logos/gaffer.png.200x200_q85.png,"Last updated Jan. 4, 2022, 7:54 a.m.",Gaffer is a ER database written in Java.,Entity-Relationship,HTTP / REST,,https://github.com/gchq/Gaffer,https://github.com/gchq/Gaffer,,Government Communications Headquarters,GB,2016,,Open Source,Java,,,Apache v2,All OS with Java VM,Graph,Y,gchq/Gaffer,gchq,Gaffer,Y
gaia,Gaia,https://dbdb.io/db/gaia,https://dbdb.io/media/logos/gaia.png.200x200_q85.png,"Last updated Nov. 14, 2022, 5:28 p.m.",Gaia is an in-memory DBMS designed for embedded devices.,Object-Oriented,Custom API,Embedded,https://www.gaiaplatform.io,https://github.com/gaia-platform/GaiaPlatform,https://gaia-platform.github.io/gaia-platform-docs.io/,GAIA,US,,,"Commercial,Open Source",C++,"C,C++",RocksDB,MIT,,Object oriented,Y,gaia-platform/GaiaPlatform,gaia-platform,GaiaPlatform,Y
genji,Genji,https://dbdb.io/db/genji,https://dbdb.io/media/logos/genji.svg,"Last updated June 27, 2022, 7:59 a.m.",Genji is an embedded DBMS written in Go that supports SQL over document-oriented databases.,Document / XML,SQL,Embedded,https://genji.dev/,https://github.com/genjidb/genji,https://genji.dev/docs/,Asdine El Hrychy,AE,2018,,Open Source,Go,,,,,Document,Y,genjidb/genji,genjidb,genji,Y
geode,Geode,https://dbdb.io/db/geode,https://dbdb.io/media/logos/apache-geode.svg,"Last updated June 28, 2022, 7:56 a.m.","Apache Geode is an open-source, in-memory distributed database designed to support transactional applications with the demand for low latency and high concurrency.",Key/Value,Custom API,Shared-Nothing,http://geode.apache.org/,http://geode.apache.org/releases/,http://geode.apache.org/releases/latest/javadoc/index.html,Apache,US,2015,,Open Source,Java,"C#,C++,Groovy,Java,Python,Scala",,Apache v2,All OS with Java VM,Key-value,,,,,Y
ghostdb,GhostDB,https://dbdb.io/db/ghostdb,https://dbdb.io/media/logos/ghostdb.png.200x200_q85.png,"Last updated July 9, 2020, 7:35 p.m.",GhostDB is a distributed in-memory key-value DBMS designed for caching.,Key/Value,,Shared-Nothing,https://ghostdbcache.com/,https://github.com/jakekgrog/GhostDB,https://ghostdbcache.com/docs/,Jake Grogan,IE,2020,,Open Source,Go,,,BSD,Linux,Key-value,Y,jakekgrog/GhostDB,jakekgrog,GhostDB,Y
